Type
AdUnitAfcSizeError
AdUnitCodeError
AdUnitHierarchyError
ApiError
AuthenticationError
CommonError
CreativeError
FileError
FlashCreativeError
ForecastError
GeoTargetingError
InternalApiError
InvalidEmailError
InvalidUrlError
InventoryTargetingError
InventoryUnitError
LineItemCreativeAssociationError
LineItemCreativeAssociationOperationError
LineItemFlightDateError
LineItemOperationError
NotNullError
NullError
OrderActionError
OrderError
ParseError
PermissionError
QuotaError
RangeError
RegExError
ReportError
RequiredCollectionError
RequiredError
RequiredNumberError
RequiredSizeError
ReservationDetailsError
ServerError
StatementError
StringLengthError
TypeError
UniqueError
