Type
AdUnitAfcSizeError
AdUnitCodeError
AdUnitHierarchyError
ApiError
ApiVersionError
AuthenticationError
CommonError
CreativeError
CustomTargetingError
DayPartTargetingError
FileError
ForecastError
GeoTargetingError
ImageError
InternalApiError
InvalidEmailError
InvalidUrlError
InventoryTargetingError
InventoryUnitError
LineItemCreativeAssociationError
LineItemCreativeAssociationOperationError
LineItemFlightDateError
LineItemOperationError
NotNullError
NullError
OrderActionError
OrderError
ParseError
PermissionError
PublisherQueryLanguageContextError
PublisherQueryLanguageSyntaxError
QuotaError
RangeError
RegExError
ReportError
RequiredCollectionError
RequiredError
RequiredNumberError
RequiredSizeError
ReservationDetailsError
ServerError
StatementError
StringLengthError
TypeError
UniqueError
UserDomainTargetingError
